0,3.02,3.02,1 _cm_adelante
0,2.71,2.71,1 _cm_adelante
0,2.3,2.3,1 _cm_adelante
0,2.01,2.01,1 _cm_adelante
0,1.76,1.76,1 _cm_adelante
0,1.56,1.56,1 _cm_adelante
0,1.4,1.4,1 _cm_adelante
0,1.26,1.26,1 _cm_adelante
0,1.16,1.16,1 _cm_adelante
0,1.07,1.07,1 _cm_adelante
0,1,1,1 _cm_adelante
0,0.94,0.94,1 _cm_adelante
0,0.87,0.87,1 _cm_adelante
0,0.82,0.82,1 _cm_adelante
0,0.79,0.79,1 _cm_adelante
0,0.74,0.74,1 _cm_adelante
0,0.7,0.7,1 _cm_adelante
0,0.66,0.66,1 _cm_adelante
0,0.64,0.64,1 _cm_adelante
0,0.61,0.61,1 _cm_adelante
0,0.58,0.58,1 _cm_adelante
0,0.55,0.55,1 _cm_adelante
0,0.53,0.53,1 _cm_adelante
0,0.51,0.51,1 _cm_adelante
0,0.49,0.49,1 _cm_adelante
0,0.47,0.47,1 _cm_adelante
0,0.45,0.45,1 _cm_adelante
0,0.43,0.43,1 _cm_adelante
0,0.42,0.42,1 _cm_adelante
0,0.41,0.41,1 _cm_adelante
0,0.4,0.4,1 _cm_adelante
0,0.38,0.38,1 _cm_adelante
0,0.36,0.36,1 _cm_adelante
0,0.35,0.35,1 _cm_adelante
0,0.34,0.34,1 _cm_adelante
0,0.335,0.335,1 _cm_adelante
0,0.33,0.33,1 _cm_adelante
0,0.32,0.32,1 _cm_adelante
0.32,3.02,3.02,1 _cm_adelante
0.32,2.71,2.71,1 _cm_adelante
0.32,2.3,2.3,1 _cm_adelante
0.32,2.01,2.01,1 _cm_adelante
0.32,1.76,1.76,1 _cm_adelante
0.32,1.56,1.56,1 _cm_adelante
0.32,1.4,1.4,1 _cm_adelante
0.32,1.26,1.26,1 _cm_adelante
0.32,1.16,1.16,1 _cm_adelante
0.32,1.07,1.07,1 _cm_adelante
0.32,1,1,1 _cm_adelante
0.32,0.94,0.94,1 _cm_adelante
0.32,0.87,0.87,1 _cm_adelante
0.32,0.82,0.82,1 _cm_adelante
0.32,0.79,0.79,1 _cm_adelante
0.32,0.74,0.74,1 _cm_adelante
0.32,0.7,0.7,1 _cm_adelante
0.32,0.66,0.66,1 _cm_adelante
0.32,0.64,0.64,1 _cm_adelante
0.32,0.61,0.61,1 _cm_adelante
0.32,0.58,0.58,1 _cm_adelante
0.32,0.55,0.55,1 _cm_adelante
0.32,0.53,0.53,1 _cm_adelante
0.32,0.51,0.51,1 _cm_adelante
0.32,0.49,0.49,1 _cm_adelante
0.32,0.47,0.47,1 _cm_adelante
0.32,0.45,0.45,1 _cm_adelante
0.32,0.43,0.43,1 _cm_adelante
0.32,0.42,0.42,1 _cm_adelante
0.32,0.41,0.41,1 _cm_adelante
0.32,0.4,0.4,1 _cm_adelante
0.32,0.38,0.38,1 _cm_adelante
0.32,0.36,0.36,1 _cm_adelante
0.32,0.35,0.35,1 _cm_adelante
0.32,0.34,0.34,1 _cm_adelante
0.32,0.335,0.335,1 _cm_adelante
0.32,0.33,0.33,1 _cm_adelante
0.32,0.32,0.32,1 _cm_adelante
0.33,3.02,3.02,1 _cm_adelante
0.33,2.71,2.71,1 _cm_adelante
0.33,2.3,2.3,1 _cm_adelante
0.33,2.01,2.01,1 _cm_adelante
0.33,1.76,1.76,1 _cm_adelante
0.33,1.56,1.56,1 _cm_adelante
0.33,1.4,1.4,1 _cm_adelante
0.33,1.26,1.26,1 _cm_adelante
0.33,1.16,1.16,1 _cm_adelante
0.33,1.07,1.07,1 _cm_adelante
0.33,1,1,1 _cm_adelante
0.33,0.94,0.94,1 _cm_adelante
0.33,0.87,0.87,1 _cm_adelante
0.33,0.82,0.82,1 _cm_adelante
0.33,0.79,0.79,1 _cm_adelante
0.33,0.74,0.74,1 _cm_adelante
0.33,0.7,0.7,1 _cm_adelante
0.33,0.66,0.66,1 _cm_adelante
